,productID,productName
0,1,Soda
1,2,100% Raw Coconut Water
2,3,Whole Milk
3,4,Yellow Onions
4,5,Shredded Parmesan
5,6,Seedless Red Grapes
6,7,100% Whole Wheat Bread
7,8,Small Hass Avocado
8,9,Organic Reduced Fat 2% Milk
9,10,Organic Lemon
10,11,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
11,12,Organic Navel Orange
12,13,Apple Honeycrisp Organic
13,14,Broccoli Crown
14,15,Organic Red Onion
15,16,Blueberries
16,17,Granny Smith Apples
17,18,Organic Broccoli
18,19,Organic Red Bell Pepper
19,20,Large Alfresco Eggs
20,21,Hass Avocados
21,22,Bag of Organic Bananas
22,23,Orange Bell Pepper
23,24,Organic Carrot Bunch
24,25,Strawberries
25,26,Carrots
26,27,Organic Grade A Free Range Large Brown Eggs
27,28,Organic Large Extra Fancy Fuji Apple
28,29,Spring Water
29,30,Jalapeno Peppers
30,31,Organic Broccoli Florets
31,32,Organic Strawberries
32,33,Organic Baby Arugula
33,34,Sparkling Lemon Water
34,35,Organic Baby Spinach
35,36,Green Bell Pepper
36,37,Organic Whole String Cheese
37,38,Organic D'Anjou Pears
38,39,Organic Yellow Onion
39,40,2% Reduced Fat Milk
40,41,Red Peppers
41,42,Unsweetened Almondmilk
42,43,Banana
43,44,Organic Garlic
44,45,Boneless Skinless Chicken Breasts
45,46,Limes
46,47,Organic Blackberries
47,48,Half & Half
48,49,Fresh Cauliflower
49,50,Organic Black Beans
50,51,Uncured Genoa Salami
51,52,Organic Lacinato (Dinosaur) Kale
52,53,Organic Whole Milk
53,54,Organic Raspberries
54,55,"Clementines, Bag"
55,56,Organic Fuji Apple
56,57,Bunched Cilantro
57,58,Michigan Organic Kale
58,59,Roma Tomato
59,60,Organic Cucumber
60,61,Original Hummus
61,62,Extra Virgin Olive Oil
62,63,Organic Cilantro
63,64,Pure Irish Butter
64,65,Sparkling Natural Mineral Water
65,66,Grated Parmesan
66,67,Organic Italian Parsley Bunch
67,68,Garlic
68,69,Red Vine Tomato
69,70,Lime Sparkling Water
70,71,Organic Unsweetened Almond Milk
71,72,Organic Gala Apples
72,73,Organic Reduced Fat Milk
73,74,Organic Blueberries
74,75,Organic Granny Smith Apple
75,76,Organic Kiwi
76,77,Organic Grape Tomatoes
77,78,Organic Romaine Lettuce
78,79,Bartlett Pears
79,80,Organic Tomato Cluster
80,81,Organic Baby Carrots
81,82,Unsalted Butter
82,83,Organic Bartlett Pear
83,84,Raspberries
84,85,Organic Peeled Whole Baby Carrots
85,86,Red Onion
86,87,Organic Small Bunch Celery
87,88,Sparkling Water Grapefruit
88,89,Organic Zucchini
89,90,Honeycrisp Apple
90,91,Organic Ginger Root
91,92,Grape White/Green Seedless
92,93,Asparagus
93,94,Unsweetened Original Almond Breeze Almond Milk
94,95,Organic Hass Avocado
95,96,Large Lemon
96,97,Organic Avocado
97,98,Organic Garnet Sweet Potato (Yam)
98,99,Organic Half & Half
99,100,Cucumber Kirby
